#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 1::Phaedrus 230a–e
#columns:Front	Back	Tags
#tags column:3
ἄγω	lead, bring, drive	Quiz1 Phaedrus Plato verb
αἱρέω (mid. αἱρέομαι)	take, seize; (middle) choose, pick	Quiz1 Phaedrus Plato verb
ἀναγιγνώσκω	read, read aloud	Quiz1 Phaedrus Plato verb
ἀποδημέω	be away from home, go abroad, travel	Quiz1 Phaedrus Plato verb
ἀφικνέομαι	arrive, come to	Quiz1 Phaedrus Plato verb
βούλομαι	wish, want, be willing	Quiz1 Phaedrus Plato verb
διδάσκω	teach	Quiz1 Phaedrus Plato verb
δοκέω	seem; think, suppose	Quiz1 Phaedrus Plato verb
ἐθέλω	be willing, wish	Quiz1 Phaedrus Plato verb
ἔοικα	be like, resemble; seem	Quiz1 Phaedrus Plato verb
εὑρίσκω	find, discover	Quiz1 Phaedrus Plato verb
ἔξειμι (ἐξιέναι)	go out, go forth	Quiz1 Phaedrus Plato verb
ἔχω	have, hold	Quiz1 Phaedrus Plato verb
κατάκειμαι	lie down, recline	Quiz1 Phaedrus Plato verb
κατακλίνω	lay down; (passive) lie down, recline	Quiz1 Phaedrus Plato verb
λέγω	say, speak	Quiz1 Phaedrus Plato verb
ξεναγέω	act as guide for a stranger, show around	Quiz1 Phaedrus Plato verb
οἴομαι	think, suppose	Quiz1 Phaedrus Plato verb
παρέχω	provide, furnish, render, make	Quiz1 Phaedrus Plato verb
πάρειμι	be present, be at hand	Quiz1 Phaedrus Plato verb
πεινάω	be hungry, hunger	Quiz1 Phaedrus Plato verb
περιάγω	lead around, take about	Quiz1 Phaedrus Plato verb
προσείω	shake at, dangle before, hold out temptingly	Quiz1 Phaedrus Plato verb
προτείνω	hold out, stretch forth, offer	Quiz1 Phaedrus Plato verb
ῥέω	flow, run	Quiz1 Phaedrus Plato verb
συγγιγνώσκω	pardon, forgive, make allowance for	Quiz1 Phaedrus Plato verb
τεκμαίρομαι	judge, infer, conclude from evidence	Quiz1 Phaedrus Plato verb
ὑπηχέω	sound in answer, echo back, resound	Quiz1 Phaedrus Plato verb
φαίνω (mid. φαίνομαι)	show, bring to light; (middle) appear, seem	Quiz1 Phaedrus Plato verb
φύω	bring forth, produce; (perfect) have grown, be by nature	Quiz1 Phaedrus Plato verb
ἄγαλμα, -ατος, τό	statue, image, votive offering	Quiz1 Phaedrus Plato noun
ἀκμή, -ῆς, ἡ	peak, prime, full bloom	Quiz1 Phaedrus Plato noun
ἄνθη, -ης, ἡ	bloom, blossom, flower	Quiz1 Phaedrus Plato noun
ἄνθρωπος, -ου, ὁ	human being, person, man	Quiz1 Phaedrus Plato noun
ἄστυ, -εως, τό	city, town	Quiz1 Phaedrus Plato noun
βιβλίον, -ου, τό	book, papyrus roll, document	Quiz1 Phaedrus Plato noun
δένδρον, -ου, τό	tree	Quiz1 Phaedrus Plato noun
ἑταῖρος, -ου, ὁ	companion, comrade, friend	Quiz1 Phaedrus Plato noun
ἔξοδος, -ου, ἡ	going out, departure, exit	Quiz1 Phaedrus Plato noun
ἱερόν, -οῦ, τό	shrine, sanctuary, holy place	Quiz1 Phaedrus Plato noun
θαλλός, -οῦ, ὁ	young shoot, green branch, foliage	Quiz1 Phaedrus Plato noun
θρέμμα, -ατος, τό	creature, nursling, beast (of livestock)	Quiz1 Phaedrus Plato noun
καρπός, -οῦ, ὁ	fruit, produce	Quiz1 Phaedrus Plato noun
καταγωγή, -ῆς, ἡ	resting-place, lodging, halting-place	Quiz1 Phaedrus Plato noun
κεφαλή, -ῆς, ἡ	head	Quiz1 Phaedrus Plato noun
κόρη, -ης, ἡ	maiden; figurine of a maiden, doll	Quiz1 Phaedrus Plato noun
λόγος, -ου, ὁ	word, speech, discourse	Quiz1 Phaedrus Plato noun
Νύμφη, -ης, ἡ	Nymph	Quiz1 Phaedrus Plato noun
πηγή, -ῆς, ἡ	spring, fountain	Quiz1 Phaedrus Plato noun
πλάτανος, -ου, ἡ	plane tree	Quiz1 Phaedrus Plato noun
πόα, -ας, ἡ	grass, herbage	Quiz1 Phaedrus Plato noun
πούς, ποδός, ὁ	foot	Quiz1 Phaedrus Plato noun
σχῆμα, -ατος, τό	form, figure, posture, position	Quiz1 Phaedrus Plato noun
τεῖχος, -ους, τό	wall, city-wall	Quiz1 Phaedrus Plato noun
τέττιξ, -ιγος, ὁ	cicada	Quiz1 Phaedrus Plato noun
τόπος, -ου, ὁ	place, spot	Quiz1 Phaedrus Plato noun
ὕδωρ, ὕδατος, τό	water	Quiz1 Phaedrus Plato noun
