#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 2::Idyll 1.1–63
#columns:Front	Back	Tags
#tags column:3
μελίζομαι (Doric μελίσδομαι)	make melody, sing, warble	Quiz2 Idyll1 Theocritus verb
συρίζω (Doric συρίσδω)	play the pan-pipe, pipe	Quiz2 Idyll1 Theocritus verb
ἀποφέρω (fut. ἀποίσω)	carry off, win, bear away	Quiz2 Idyll1 Theocritus verb
αἱρέω	take, seize, win; (mid.) choose	Quiz2 Idyll1 Theocritus verb
λαμβάνω	take, get, receive	Quiz2 Idyll1 Theocritus verb
καταρρέω	flow down, fall to (one's share)	Quiz2 Idyll1 Theocritus verb
ἀμέλγω	milk	Quiz2 Idyll1 Theocritus verb
καταλείβω (mid./pass. καταλείβομαι)	trickle down, pour down, stream down	Quiz2 Idyll1 Theocritus verb
ἄγω	lead, take, carry off; (mid.) win	Quiz2 Idyll1 Theocritus verb
ἀρέσκω	please, be pleasing	Quiz2 Idyll1 Theocritus verb
δείδω (perf. δέδοικα, with pres. sense)	fear, dread, stand in awe of	Quiz2 Idyll1 Theocritus verb
κάμνω	toil, labour; grow weary	Quiz2 Idyll1 Theocritus verb
ἀναπαύομαι (apocope ἀμπαύομαι)	rest, take one's rest	Quiz2 Idyll1 Theocritus verb
κάθημαι	sit, be seated, settle	Quiz2 Idyll1 Theocritus verb
ἀείδω	sing (of)	Quiz2 Idyll1 Theocritus verb
ἱκνέομαι	come to, reach, attain	Quiz2 Idyll1 Theocritus verb
ἕζομαι (Doric ἕσδομαι)	sit down, seat oneself	Quiz2 Idyll1 Theocritus verb
ἐρίζω (Doric ἐρίσδω)	contend, vie, compete	Quiz2 Idyll1 Theocritus verb
δίδωμι (fut. δώσω)	give	Quiz2 Idyll1 Theocritus verb
ἔχω	have, hold	Quiz2 Idyll1 Theocritus verb
κλύζω	wash over, coat, seal	Quiz2 Idyll1 Theocritus verb
προσόζω (Doric ποτόσδω)	smell of (+ gen.)	Quiz2 Idyll1 Theocritus verb
κονίω (perf. mid./pass. κεκόνιμαι)	sprinkle, dust, powder	Quiz2 Idyll1 Theocritus verb
εἰλέω / εἱλέω	wind, coil, twist	Quiz2 Idyll1 Theocritus verb
ἀγάλλομαι	glory in, exult in, take delight in (+ dat.)	Quiz2 Idyll1 Theocritus verb
τεύχω	make, contrive, fashion, work	Quiz2 Idyll1 Theocritus verb
νεικέω / νεικείω	quarrel, wrangle, contend, dispute	Quiz2 Idyll1 Theocritus verb
ἅπτομαι	touch, take hold of (+ gen.)	Quiz2 Idyll1 Theocritus verb
προσδέρκομαι (Doric ποτιδέρκομαι)	look at, gaze upon	Quiz2 Idyll1 Theocritus verb
γελάω (Doric)	laugh, smile	Quiz2 Idyll1 Theocritus verb
ῥιπτέω (= ῥίπτω)	throw, cast, fling	Quiz2 Idyll1 Theocritus verb
μοχθίζω	toil, labour, suffer hardship	Quiz2 Idyll1 Theocritus verb
σπεύδω	hasten, strive, exert oneself	Quiz2 Idyll1 Theocritus verb
ἕλκω	drag, haul, pull	Quiz2 Idyll1 Theocritus verb
ἔοικα (perf. with pres. sense)	be like, resemble, seem (+ dat.)	Quiz2 Idyll1 Theocritus verb
φημί	say, declare, assert	Quiz2 Idyll1 Theocritus verb
οἰδάω / οἰδέω (perf. ᾤδηκα)	swell, be swollen	Quiz2 Idyll1 Theocritus verb
βρίθω (perf. βέβριθα)	be laden, be heavy with (+ dat.)	Quiz2 Idyll1 Theocritus verb
