#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 2::Idyll 1.64–107, 115–118
#columns:Front	Back	Tags
#tags column:3
ἄρχω	begin, make a beginning of (+ gen.)	Quiz2 Idyll1 Theocritus verb
τήκω (Doric τάκομαι)	melt; (mid./pass.) waste away, pine away	Quiz2 Idyll1 Theocritus verb
ἔχω	have, hold; occupy, haunt, keep to	Quiz2 Idyll1 Theocritus verb
ἔρχομαι (Doric aor. ἦνθον = ἦλθον)	come, go	Quiz2 Idyll1 Theocritus verb
ὠρύομαι	howl, wail	Quiz2 Idyll1 Theocritus verb
κλαίω (aor. ἔκλαυσα)	weep, weep for, lament	Quiz2 Idyll1 Theocritus verb
θνῄσκω (Doric θνάσκω, aor. ἔθανον)	die; (aor. part.) dead	Quiz2 Idyll1 Theocritus verb
ὀδύρομαι	lament, mourn, wail	Quiz2 Idyll1 Theocritus verb
κατατρύχω	wear down, wear out, distress	Quiz2 Idyll1 Theocritus verb
ἔραμαι	love, be in love with, long for (+ gen.)	Quiz2 Idyll1 Theocritus verb
ἀνερωτάω	ask, question, keep asking	Quiz2 Idyll1 Theocritus verb
πάσχω (aor. ἔπαθον)	suffer, experience, have happen to one	Quiz2 Idyll1 Theocritus verb
φορέω	carry; (mid./pass.) range, roam, be borne along	Quiz2 Idyll1 Theocritus verb
ζητέω (Doric ζατέω)	seek, look for	Quiz2 Idyll1 Theocritus verb
λέγω	say, speak; (mid./pass.) be called, be said	Quiz2 Idyll1 Theocritus verb
ἐσοράω (= εἰσοράω)	look at, behold, see	Quiz2 Idyll1 Theocritus verb
βατέω	mount, cover, tread (of animals)	Quiz2 Idyll1 Theocritus verb
γίγνομαι (epic aor. ἔγεντο)	become, come to be, be born	Quiz2 Idyll1 Theocritus verb
χορεύω	dance, take part in the dance	Quiz2 Idyll1 Theocritus verb
προσλέγομαι (Doric ποτιλέγομαι)	address, answer, reply to	Quiz2 Idyll1 Theocritus verb
ἀνύω (= ἀνύτω)	accomplish, complete, carry through	Quiz2 Idyll1 Theocritus verb
γελάω (Doric)	laugh, smile	Quiz2 Idyll1 Theocritus verb
